,Build_Result,Actual_Result,Index
0,1,0,1
1,1,0,2
2,1,0,3
3,1,0,4
4,1,1,5
5,1,1,6
6,1,1,7
7,1,1,8
8,1,1,9
9,1,1,10
10,1,1,11
11,1,1,12
12,1,1,13
13,1,1,14
14,1,1,15
15,1,1,16
16,1,1,17
17,1,1,18
18,1,1,19
19,1,1,20
20,1,1,21
21,1,1,22
22,1,1,23
23,1,1,24
24,1,1,25
25,1,1,26
26,1,1,27
27,1,1,28
28,1,1,29
29,1,1,30
30,1,1,31
31,1,1,32
32,1,1,33
33,1,1,34
34,0,0,35
35,0,0,36
36,1,1,37
37,1,1,38
38,1,1,39
39,1,1,40
40,1,1,41
41,1,1,42
42,1,1,43
43,1,1,44
44,1,1,45
45,1,1,46
46,1,1,47
47,1,1,48
48,1,0,49
49,1,0,50
50,1,1,51
51,1,1,52
52,1,1,53
53,1,1,54
54,1,1,55
55,1,1,56
56,1,1,57
57,1,1,58
58,1,0,59
59,1,0,60
60,1,1,61
61,1,1,62
62,1,0,63
63,1,0,64
64,1,1,65
65,1,1,66
66,1,1,67
67,1,1,68
68,1,1,69
69,1,1,70
70,1,1,71
71,1,1,72
72,1,1,73
73,1,1,74
74,1,1,75
75,1,1,76
76,1,1,77
77,1,1,78
78,1,1,79
79,1,1,80
80,1,1,81
81,1,1,82
82,1,1,83
83,1,1,84
84,1,1,85
85,1,1,86
86,1,1,87
87,1,1,88
88,1,1,89
89,1,1,90
90,1,1,91
91,1,1,92
92,1,1,93
93,1,1,94
94,1,0,95
95,1,0,96
96,1,1,97
97,1,1,98
98,1,1,99
99,1,1,100
100,0,1,101
101,0,1,102
102,1,0,103
103,1,0,104
104,1,0,105
105,1,0,106
106,1,1,107
107,1,1,108
108,1,1,109
109,1,1,110
110,1,1,111
111,1,1,112
112,1,1,113
113,1,1,114
114,1,1,115
115,1,1,116
116,1,0,117
117,1,0,118
118,1,1,119
119,1,1,120
120,1,0,121
121,1,0,122
122,1,0,123
123,1,0,124
124,1,1,125
125,1,1,126
126,1,1,127
127,1,1,128
128,1,0,129
129,1,0,130
130,1,1,131
131,1,1,132
132,1,0,133
133,1,0,134
134,1,1,135
135,1,1,136
136,1,1,137
137,1,1,138
138,1,0,139
139,1,0,140
140,1,0,141
141,1,0,142
142,1,1,143
143,1,1,144
144,1,0,145
145,1,0,146
146,1,1,147
147,1,1,148
148,1,1,149
149,1,1,150
150,0,1,151
151,0,1,152
152,1,0,153
153,1,0,154
154,1,0,155
155,1,0,156
156,1,0,157
157,1,0,158
158,1,0,159
159,1,0,160
160,1,0,161
161,1,0,162
162,1,0,163
163,1,0,164
164,1,0,165
165,1,0,166
166,1,0,167
167,1,0,168
168,0,0,169
169,0,0,170
170,1,0,171
171,1,0,172
172,1,1,173
173,1,1,174
174,1,1,175
175,1,1,176
176,1,1,177
177,1,1,178
178,1,1,179
179,1,1,180
180,1,1,181
181,1,1,182
182,1,1,183
183,1,1,184
184,1,1,185
185,1,1,186
186,1,1,187
187,1,1,188
188,1,0,189
189,1,0,190
190,1,0,191
191,1,0,192
192,1,1,193
193,1,1,194
194,1,0,195
195,1,0,196
196,1,1,197
197,1,1,198
198,1,0,199
199,1,0,200
200,1,0,201
201,1,0,202
202,1,0,203
203,1,0,204
204,1,1,205
205,1,1,206
206,1,1,207
207,1,1,208
208,1,1,209
209,1,1,210
210,1,0,211
211,1,0,212
212,1,1,213
213,1,1,214
214,1,1,215
215,1,1,216
216,1,1,217
217,1,1,218
218,1,1,219
219,1,1,220
220,1,1,221
221,1,1,222
222,1,0,223
223,1,0,224
224,1,1,225
225,1,1,226
226,1,1,227
227,1,1,228
228,1,1,229
229,1,1,230
230,1,1,231
231,1,1,232
232,1,1,233
233,1,1,234
234,1,0,235
235,1,0,236
236,1,1,237
237,1,1,238
238,1,0,239
239,1,0,240
240,1,0,241
241,1,0,242
242,1,0,243
243,1,0,244
244,1,0,245
245,1,0,246
246,1,0,247
247,1,0,248
248,1,0,249
249,1,0,250
250,1,1,251
251,1,1,252
252,1,1,253
253,1,1,254
